Title,Date
"Friends: Season 8: The One with the Tea Leaves","26/09/23"
"The Big Bang Theory: Season 11: The Bitcoin Entanglement","26/09/23"
"Sex Education: Season 4: Episode 6","25/09/23"
"Sex Education: Season 4: Episode 5","24/09/23"
"Sex Education: Season 4: Episode 4","24/09/23"
"Friends: Season 8: The One Where Joey Tells Rachel","23/09/23"
"Friends: Season 8: The One with the Birthing Video","23/09/23"
"Friends: Season 8: The One with the Secret Closet","23/09/23"
"Triptych: 33 x 3","22/09/23"
"The Big Bang Theory: Season 5: The Infestation Hypothesis","22/09/23"
"Sex Education: Season 4: Episode 3","22/09/23"
"Sex Education: Season 4: Episode 2","22/09/23"
"Friends: Season 8: The One Where Chandler Takes a Bath","22/09/23"
"Friends: Season 8: The One Where Joey Dates Rachel","22/09/23"
"Friends: Season 8: The One with the Creepy Holiday Card","22/09/23"
"Sex Education: Season 4: Episode 1","22/09/23"
"Sex Education: Season 3: Episode 6","21/09/23"
"The Big Bang Theory: Season 1: The Big Bran Hypothesis","21/09/23"
"The Big Bang Theory: Season 1: Pilot","21/09/23"
"The Big Bang Theory: Season 11: The Reclusive Potential","21/09/23"
"The Office (U.S.): Season 3: Gay Witch Hunt","16/09/23"
"My Hero Academia: Season 2: The Aftermath of Hero Killer: Stain","16/09/23"
"My Hero Academia: Season 2: Climax","16/09/23"
"My Hero Academia: Season 2: Hero Killer: Stain vs U.A. Students","16/09/23"
"My Hero Academia: Season 2: Time to Pick Some Names","16/09/23"
"My Hero Academia: Season 2: Todoroki vs. Bakugo","16/09/23"
"My Hero Academia: Season 2: Fight on, Iida","15/09/23"
"My Hero Academia: Season 2: Shoto Todoroki: Origin","15/09/23"
"My Hero Academia: Season 2: Bakugo vs. Uraraka","15/09/23"
"My Hero Academia: Season 2: Battle on, Challengers!","15/09/23"
"My Hero Academia: Season 2: Victory or Defeat","15/09/23"
"F9: The Fast Saga","15/09/23"
"Friends: Season 8: The One with Monica's Boots","11/09/23"
"Friends: Season 8: The One with the Rumor","11/09/23"
"Friends: Season 8: The One with the Stripper","11/09/23"
"Friends: Season 8: The One with the Stain","11/09/23"
"Friends: Season 8: The One with the Halloween Party","11/09/23"
"The Romantics: The Boy from Jalandhar","10/09/23"
"Guns & Gulaabs: Chapter 3: Kasam Paida Karnewale Ki","10/09/23"
"Guns & Gulaabs: Chapter 2: Everything I Do ... I Do It For You","09/09/23"
"Guns & Gulaabs: Chapter 1: Har Insaan Mein Hai Shaitaan","09/09/23"
"How to Get Away With Murder: Season 1: It's All Her Fault","08/09/23"
"How to Get Away With Murder: Season 1: Pilot","08/09/23"
"Jack Reacher","08/09/23"
"Friends: Season 8: The One with Rachel's Date","07/09/23"
"Friends: Season 8: The One with the Videotape","07/09/23"
"Friends: Season 8: The One Where Rachel Tells ...","07/09/23"
"Friends: Season 8: The One with the Red Sweater","07/09/23"
"Friends: Season 8: The One After I Do","07/09/23"
"Friends: Season 7: The One with Chandler and Monica's Wedding: Part 2","06/09/23"
"Friends: Season 7: The One with Chandler and Monica's Wedding: Part 1","06/09/23"
"Friends: Season 7: The One with Chandler's Dad","06/09/23"
"Jujutsu Kaisen: Season 2: Hidden Inventory 1","06/09/23"
"Jujutsu Kaisen: Season 1: Episode 1","06/09/23"
"Brooklyn Nine-Nine: Season 5: Return to Skyfire","06/09/23"
"Brooklyn Nine-Nine: Season 5: Two Turkeys","06/09/23"
"Oh My God","03/09/23"
"Govinda Govinda","02/09/23"
"The Lunchbox","29/08/23"
"The Gray Man","22/08/23"
"Bo Burnham: Inside","19/08/23"
"Haseen Dillruba","19/08/23"
"Bulbbul","19/08/23"
"Ray: Spotlight","18/08/23"
"Ray: Forget Me Not","18/08/23"
"Heart of Stone","18/08/23"
"The Lincoln Lawyer: Season 2: Bury Your Past","18/08/23"
"The Lincoln Lawyer: Season 2: The Fifth Witness","18/08/23"
"The Lincoln Lawyer: Season 2: Covenants and Stipulations","18/08/23"
"The Lincoln Lawyer: Season 2: Cui Bono","18/08/23"
"Bheed","17/08/23"
"Rangabali","17/08/23"
"The Lincoln Lawyer: Season 2: Withdrawal","16/08/23"
"Dil Dhadakne Do","16/08/23"
"The Lincoln Lawyer: Season 2: Suspicious Minds","16/08/23"
"Ray: Hungama Hai Kyon Barpa","15/08/23"
"The Lincoln Lawyer: Season 2: Discovery","14/08/23"
"The Lincoln Lawyer: Season 2: Conflicts","14/08/23"
"The Lincoln Lawyer: Season 2: Obligations","13/08/23"
"Adipurush","13/08/23"
"The Lincoln Lawyer: Season 2: The Rules of Professional Conduct","13/08/23"
"The Lincoln Lawyer: Season 1: The Brass Verdict","13/08/23"
"Maamannan","13/08/23"
"Friends: Season 7: The One with the Vows","12/08/23"
"Friends: Season 7: The One with Rachel's Big Kiss","12/08/23"
"Friends: Season 7: The One with Ross and Monica's Cousin","12/08/23"
"The Pope's Exorcist","12/08/23"
"Gumraah","12/08/23"
"Ray: Bahoorupi","12/08/23"
"Padmini","12/08/23"
"Virupaksha","12/08/23"
"Breaking Bad: Season 5: Felina","12/08/23"
"Breaking Bad: Season 5: Confessions","12/08/23"
"The Lincoln Lawyer: Season 1: The Uncanny Valley","12/08/23"
"The Lincoln Lawyer: Season 1: The Magic Bullet Redux","12/08/23"
"The Hunt for Veerappan: CHAPTER FOUR - THE WAY OUT","11/08/23"
"The Hunt for Veerappan: CHAPTER THREE - THE REVOLUTIONARY","11/08/23"
"The Lincoln Lawyer: Season 1: Lemming Number Seven","11/08/23"
"The Lincoln Lawyer: Season 1: Bent","11/08/23"
"The Lincoln Lawyer: Season 1: Twelve Lemmings in a Box","11/08/23"
"The Hunt for Veerappan: CHAPTER TWO - THE BLOODBATH","10/08/23"
"The Hunt for Veerappan: CHAPTER ONE - THE FOREST KING","10/08/23"
"Brahman Naman","10/08/23"
"Stree","10/08/23"
"Better Call Saul: Season 1: Mijo","09/08/23"
"Baahubali: The Beginning (English Version)","08/08/23"
"Scoop: Episode 6","08/08/23"
"Scoop: Episode 5","08/08/23"
"Scoop: Episode 4","08/08/23"
"Scoop: Episode 3","08/08/23"
"Eternally Confused and Eager for Love: Double Trouble","08/08/23"
"Eternally Confused and Eager for Love: Homecoming","08/08/23"
"Eternally Confused and Eager for Love: Foolproof","08/08/23"
"Eternally Confused and Eager for Love: Second Chance","08/08/23"
"Sex/Life: Season 1: New New York","07/08/23"
"Sex/Life: Season 1: Empire State of Mind","07/08/23"
"Sex/Life: Season 1: Down in the Tube Station at Midnight","07/08/23"
"Sex/Life: Season 1: The Wives Are in Connecticut","07/08/23"
"Sexify: Season 1: Episode 1","07/08/23"
"Ala Vaikunthapurramuloo","07/08/23"
"Community: Season 1: Football, Feminism and You","07/08/23"
"Eternally Confused and Eager for Love: Stag Entry","06/08/23"
"Eternally Confused and Eager for Love: Blind Date","06/08/23"
"Eternally Confused and Eager for Love: Origin Story","06/08/23"
"Friends: Season 7: The One with Joey's Award","06/08/23"
"Friends: Season 7: The One with the Cheap Wedding Dress","06/08/23"
"Friends: Season 7: The One with the Truth About London","06/08/23"
"Pyaar Ka Punchnama 2","06/08/23"
"Pyaar Ka Punchnama","06/08/23"
"Spyder","06/08/23"
"Krishna and His Leela","06/08/23"
"Heartstopper: Season 1: Meet","05/08/23"
"Pitta Kathalu: xLife","05/08/23"
"Pitta Kathalu: Meera","05/08/23"
"Pitta Kathalu: Ramula","05/08/23"
"The Lincoln Lawyer: Season 1: Chaos Theory","04/08/23"
"The Lincoln Lawyer: Season 1: Momentum","04/08/23"
"Inferno","04/08/23"
"The Lincoln Lawyer: Season 1: The Magic Bullet","04/08/23"
"The Lincoln Lawyer: Season 1: He Rides Again","04/08/23"
"Poisoned: The Dirty Truth About Your Food","03/08/23"
"The Big Bang Theory: Season 11: The Tenant Disassociation","03/08/23"
"The Big Bang Theory: Season 11: The Gates Excitation","03/08/23"
"The Big Bang Theory: Season 11: The Athenaeum Allocation","03/08/23"
"Jab Harry Met Sejal","02/08/23"
"Schitt's Creek: Season 3: The Throuple","01/08/23"
"Happiness for Beginners","01/08/23"
"Class: Episode 8","01/08/23"
"Hidden Strike","31/07/23"
"Class: Episode 7","31/07/23"
"Class: Episode 6","31/07/23"
"Class: Episode 5","30/07/23"
"Class: Episode 4","29/07/23"
"Wanted","29/07/23"
"Class: Episode 3","29/07/23"
"Anek","28/07/23"
"The Elephant Whisperers","28/07/23"
"Aiyyaa","28/07/23"
"Badrinath Ki Dulhania","28/07/23"
"Class: Episode 2","28/07/23"
"Class: Episode 1","28/07/23"
"Kohrra: Episode 6","28/07/23"
"Kohrra: Episode 5","28/07/23"
"Kohrra: Episode 4","28/07/23"
"Tara VS. Bilal","27/07/23"
"The Hangover: Part II","27/07/23"
"Lang Tong","27/07/23"
"High Society","27/07/23"
"Kohrra: Episode 3","27/07/23"
"Fifty Shades of Grey","27/07/23"
"No Limit","27/07/23"
"Fatal Seduction: Who Is Jacob Tau?","27/07/23"
"Obsession: Limited Series: Episode 3","27/07/23"
"Unfaithful","27/07/23"
"Fatal Seduction: Committed","27/07/23"
"How to Get Away With Murder: Season 3: We're Good People Now","27/07/23"
"Kohrra: Episode 2","27/07/23"
"Kohrra: Episode 1","27/07/23"
"Ankahi Kahaniya","26/07/23"
"If Anything Happens I Love You","26/07/23"
"Asvins","22/07/23"
"Ozark: Season 1: Sugarwood","22/07/23"
"Breaking Bad: Season 4: Cornered","22/07/23"
"Breaking Bad: Season 4: Shotgun","22/07/23"
"Breaking Bad: Season 4: Bullet Points","21/07/23"
"Breaking Bad: Season 4: Open House","21/07/23"
"Breaking Bad: Season 4: Thirty-Eight Snub","21/07/23"
"Breaking Bad: Season 4: Box Cutter","21/07/23"
"Breaking Bad: Season 3: Full Measure","21/07/23"
"Breaking Bad: Season 3: Half Measures","21/07/23"
"Breaking Bad: Season 3: Abiquiu","21/07/23"
"Breaking Bad: Season 3: Fly","21/07/23"
"Breaking Bad: Season 3: Kafkaesque","21/07/23"
"Breaking Bad: Season 3: I See You","21/07/23"
"Seinfeld: Season 1: Seinfeld","19/07/23"
"Suits: Season 4: Not Just a Pretty Face","19/07/23"
"Suits: Season 4: Intent","19/07/23"
"U Turn","18/07/23"
"Scoop: Episode 2","18/07/23"
"Fatal Seduction: Mister Wrong","17/07/23"
"Friendzone","17/07/23"
"Ride or Die","17/07/23"
"The Mother","17/07/23"
"Bird Box Barcelona","16/07/23"
"The Out-Laws","16/07/23"
"Zindagi Na Milegi Dobara","15/07/23"
"Scoop: Episode 1","15/07/23"
"Jaane Tu... Ya Jaane Na","15/07/23"
"Batman v Superman: Dawn of Justice","12/07/23"
"Takkar","11/07/23"
"Unfriended: Dark Web","09/07/23"
"Hello, Goodbye, and Everything in Between","08/07/23"
"The Notebook","08/07/23"
"Dangerous Beauty","08/07/23"
"The Reader","08/07/23"
"Love and Leashes","08/07/23"
"Suits: Season 4: Derailed","07/07/23"
"Taylor Tomlinson: Quarter-Life Crisis","07/07/23"
"Dangerous Lies","07/07/23"
"Afwaah","07/07/23"
"Lust Stories 2","06/07/23"
"Suits: Season 4: Fork in the Road","06/07/23"
"Ajeeb Daastaans","05/07/23"
"365 Days: This Day","03/07/23"
"The Next 365 Days","03/07/23"
"Unknown: The Lost Pyramid","03/07/23"
"Friends: Season 7: The One with Joey's New Brain","02/07/23"
"Barbie Dreamhouse Adventures: Season 3: Virtually Famous","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Attack of the Alvahbots","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Together Again","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: The Lake Monster","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: The Need for Speed","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Escape from Trash Island","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: The Team","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: The Daft & the Furious","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: A Match Made in the Studio","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Fashionably Old","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: The Artist's Way","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Shadow Group","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Into the Woods","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Sister Act","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Friendship House","02/07/23"
"LEGO Friends: Girls on a Mission: Season 1: Welcome to Heartlake City","02/07/23"
"Shehzada","01/07/23"
"Mrs. Serial Killer","30/06/23"
"Along Came a Spider","30/06/23"
"Primal Fear","30/06/23"
"Lust Stories","29/06/23"
"Mister Mummy","29/06/23"
"Suits: Season 4: Respect","29/06/23"
"Suits: Season 4: Enough is Enough","29/06/23"
"Through My Window: Across the Sea","29/06/23"
"Luther: The Fallen Sun","29/06/23"
"The Witcher: Season 1: Of Banquets, Bastards and Burials","29/06/23"
"The Witcher: Season 1: Bottled Appetites","29/06/23"
"The Witcher: Season 3: Shaerrawedd","29/06/23"
"Extraction 2","28/06/23"
"Theera Kaadhal","28/06/23"
"XO, Kitty: Season 1: TBH","27/06/23"
"XO, Kitty: Season 1: TGIF","27/06/23"
"XO, Kitty: Season 1: KISS","27/06/23"
"AKA","27/06/23"
"Suits: Season 4: This Is Rome","26/06/23"
"Social Currency: Last Influencer Standing","26/06/23"
"No Strings Attached","26/06/23"
"The Girl Next Door","26/06/23"
"Suits: Season 4: Gone","25/06/23"
"Friends: Season 7: The One Where They All Turn Thirty","24/06/23"
"Friends: Season 7: The One Where Rosita Dies","24/06/23"
"Friends: Season 7: The One Where They're Up All Night","24/06/23"
"Friends: Season 7: The One with All the Cheesecakes","24/06/23"
"Ae Dil Hai Mushkil","24/06/23"
"The Night Agent: The Call","24/06/23"
"Faraaz","23/06/23"
"Ginny Weds Sunny","23/06/23"
"Zindagi in Short: Pinni","22/06/23"
"Virgin River: Season 1: A Wounded Heart","21/06/23"
"Extraction","21/06/23"
"Somebody: Episode 1","21/06/23"
"Two","21/06/23"
"Black Lightning: Season 1: The Resurrection","21/06/23"
"Justice League","21/06/23"
"The Da Vinci Code","20/06/23"
"Beyond Stranger Things: Beyond 2: Mind Blown","20/06/23"
"Mission: Impossible II","20/06/23"
"Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc: A Connected Bond: Daybreak and First Light","19/06/23"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","18/06/23"
"Suits: Season 4: Exposure","18/06/23"
"Suits: Season 4: We're Done","18/06/23"
"Suits: Season 4: Litt the Hell Up","18/06/23"
"Dev.D","17/06/23"
"Masaba Masaba: Season 1: I Got It From My Mamma","17/06/23"
"Masaba Masaba: Season 1: Rumour Has It","17/06/23"
"Virgin River: Season 1: ... and Found","17/06/23"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Cruelty","16/06/23"
"Stranger Things: Stranger Things 4: Chapter Eight: Papa","16/06/23"
"Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab","16/06/23"
"Never Have I Ever: Season 2: ... been a perfect girl","16/06/23"
"Friends: Season 7: The One with the Holiday Armadillo","15/06/23"
"Friends: Season 7: The One with All the Candy","15/06/23"
"World Famous Lover","15/06/23"
"Mrs. Chatterjee vs Norway","15/06/23"
"Stranger Things: Stranger Things 4: Chapter Six: The Dive","15/06/23"
"Stranger Things: Stranger Things 4: Chapter Five: The Nina Project","15/06/23"
"Narcos: Season 1: The Sword of Simón Bolívar","15/06/23"
"Narcos: Season 1: Descenso","15/06/23"
"Valeria: Season 1: The Impostor","15/06/23"
"Valeria: Season 3: Taste You","15/06/23"
"Valeria: Season 3: I Was There","15/06/23"
"Valeria: Season 3: The End","15/06/23"
"Valeria: Season 3: Balance","15/06/23"
"Valeria: Season 3: The Bachelorette Party","15/06/23"
"Believer","15/06/23"
"Tonight You're Sleeping with Me","15/06/23"
"The Hangover","15/06/23"
"The Hangover: Part III","15/06/23"
"Virgin River: Season 1: Lost","14/06/23"
"Stranger Things: Stranger Things 4: Chapter Four: Dear Billy","14/06/23"
"Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc: Love Hashira Mitsuri Kanroji","13/06/23"
"Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero","13/06/23"
"Virgin River: Season 1: Carry On","12/06/23"
"Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse","12/06/23"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","11/06/23"
"Friends: Season 7: The One Where Chandler Doesn't Like Dogs","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Eight: The Battle of Starcourt","11/06/23"
"Friends: Season 7: The One with Ross' Library Book","11/06/23"
"Friends: Season 7: The One with the Nap Partners","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Seven: The Bite","11/06/23"
"Friends: Season 7: The One with the Engagement Picture","11/06/23"
"Friends: Season 7: The One with Rachel's Assistant","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Six: E Pluribus Unum","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Five: The Flayed","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Four: The Sauna Test","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Three: The Case of the Missing Lifeguard","11/06/23"
"Stranger Things: Stranger Things 3: Chapter Two: The Mall Rats","09/06/23"
"Stranger Things: Stranger Things 3: Chapter One: Suzie, Do You Copy?","09/06/23"
"Stranger Things: Stranger Things 2: Chapter Nine: The Gate","08/06/23"
"Stranger Things: Stranger Things 2: Chapter Eight: The Mind Flayer","08/06/23"
"Stranger Things: Stranger Things 2: Chapter Seven: The Lost Sister","08/06/23"
"Stranger Things: Stranger Things 2: Chapter Six: The Spy","08/06/23"
"Stranger Things: Stranger Things 2: Chapter Five: Dig Dug","08/06/23"
"Stranger Things: Stranger Things 2: Chapter Four: Will the Wise","08/06/23"
"Suits: Season 4: Pound of Flesh","08/06/23"
"Stranger Things: Stranger Things 2: Chapter Three: The Pollywog","07/06/23"
"Stranger Things: Stranger Things 2: Chapter Two: Trick or Treat, Freak","07/06/23"
"Pihu","07/06/23"
"Stranger Things: Stranger Things 2: Chapter One: MADMAX","07/06/23"
"Stranger Things: Chapter Eight: The Upside Down","06/06/23"
"Stranger Things: Chapter Seven: The Bathtub","06/06/23"
"Stranger Things: Chapter Six: The Monster","06/06/23"
"Suits: Season 4: Leveraged","06/06/23"
"Stranger Things: Chapter Five: The Flea and the Acrobat","06/06/23"
"Stranger Things: Chapter Four: The Body","06/06/23"
"Suits: Season 4: Two in the Knees","06/06/23"
"Stranger Things: Chapter Three: Holly, Jolly","06/06/23"
